"address","max_interval","avg_interval","std_interval"
"1A3tWUzZ8w9yehpvscUGJyjQQHbYzFnAK",0,0E-20,0
"18oMSVwFwqreATCNLuuiDFcGpQqxd2t6rF",663,331.5000000000000000,331.500000000000
"38KeUgnkPEq5kF1RzCNPu4PiRwdbkoAL8Y",0,0E-20,0
"3PXyLBZRxJzkU8aDy4EBUuiF56hHaC1t1k",0,0E-20,0
"1DsrtvRd4m1EZHoD1SPthgVSN84MRzjwh3",5363,569.2500000000000000,1500.296588733930
"3Gz91gtuz5oD1FQjq5jdZbiM5TaCoMy4UR",1708,566.6000000000000000,655.128872818165
"1Gs4QZWqRDnXgpS848sXiD8yFJdb4tNLwN",0,0E-20,0
"1Nh3iFJpZAygCVUEaabvFejqa48s5ZUzCd",2578,1152.2500000000000000,1087.564796920165
"32zrLNHUTjDfWKYGxXopaL5VZmdpcyAj9o",0,0E-20,0
"1KTwmrniNdAdzGwBdGSnQ4LXE2gTnKzRsc",0,0E-20,0
"1Gd7LWRPdhauont6x9nVmbn8TznWEpvQB4",4878,2825.6666666666666667,2065.147990392510
"17khH68uL9hWzrt6tNaguFfZXLfLVYHHL4",1,0.50000000000000000000,0.50000000000000000000
"17NxifLfQentppgMZfjX1DsJyWkDrqi6ct",0,0E-20,0
"3AbhZ3zXT9nuFXLNr5RRqy1Cai4v7cxo5h",4676,2338.0000000000000000,2338.000000000000
"34keiWLJbGf3cCjaiKsmxCLq9BzMcRVRLX",0,0E-20,0
"1PM9yU1FBEj3kmvjJKNFKnSCvydaHfhHMx",0,0E-20,0
"1Pb8RQDmjfkQobC3ipxsMLMFehcEziLScR",0,0E-20,0
"1Faabgq2u1BmcZEiw6xA8wj3AyssYu7b6p",0,0E-20,0
"1AjCYWtoLxEx9NXZYqFtC1dgk9MCKLaw5z",0,0E-20,0
"3P6Kf81m895jd42W8qhKGqY6nnUKu6Xsha",0,0E-20,0
"1FEczyrbuUjLKSLXcXsu3712ScQLw8wXQz",0,0E-20,0
"12VKtXTT8cHrk3TMTJLNwDmMYCfQofoBS7",0,0E-20,0
"1FtQB69NBXetA88kQfVgboVcdWtfmChLSs",4021,2010.5000000000000000,2010.500000000000
"18Xopa3YUxUfL8J8S5otxdqPiDJTtLN3sQ",8,4.0000000000000000,4.0000000000000000
"1MuQb41JFcvsD52QTVE9MGLYCH2QD9iXvE",0,0E-20,0
"1ACfSwojwkAVg495mTtAUpgSv5weVg5Kzr",0,0E-20,0
"3825RR4wnBwghNzpfUAdWq26hQap1wX1vM",0,0E-20,0
"39Uf4bucwUzAgx4kF21YMNCJEk12aMpiqY",0,0E-20,0
"19jUBPYBavYnZJiMzrTrbgfH24yv2tDUXg",439,150.5517241379310345,45.4355065521232860
"18JLJieFUy5ZjuCYW9P3KReRHwUM35qbH1",330,106.5000000000000000,134.682032951690
"13Gw2a9fxYBA1QtFyRCiwfK4ACV3HJ1TAZ",98,49.0000000000000000,49.0000000000000000
"19RSVDLQTgoY3ZnnySUv2L2fwUPJPnc9jj",0,0E-20,0
"19eKgUjBXW1ZqM6KDQiiLSacBC6w4mS8ip",0,0E-20,0
