"address","address_in_count","sum_granted","max_granted","min_granted","avg_granted","max_input_index","min_input_index","avg_input_index","max_output_index","min_output_index","avg_output_index"
"1F8H6C8j66adQzT7hj72GuZK4PEwxCD1A1","1","5915000","5915000","5915000","5915000.000000000000","148","148","148.0000000000000000","0","0","0.00000000000000000000"
"1F8hCPoqP1WMveSHgHxnmGp3S2D7vcb3Wc","1","120755","120755","120755","120755.000000000000","13","13","13.0000000000000000","0","0","0.00000000000000000000"
"1F8Hu7KvF3u6ZC16qDEFPbbJJYPupfFsmG","2","13762161","13702161","60000","6881080.500000000000","110","2","56.0000000000000000","96","96","96.0000000000000000"
"1F8i8xqsJP3FoszEddFuZvX7Ghdis2Qr9y","3","1255400","1127345","25796","418466.666666666667","74","20","42.3333333333333333","0","0","0.00000000000000000000"
"1F8iokSasLdSbSxUtDK8NwfKG99c3SKwv2","1","15043192","15043192","15043192","15043192.000000000000","6","6","6.0000000000000000","3","3","3.0000000000000000"
"1F8jtxcpxXCUZ1X1kmhFLWTa1pg39NUHkF","2","14180096","12350096","1830000","7090048.000000000000","90","6","48.0000000000000000","3","0","1.5000000000000000"
"1f8jVX5Wnk962hqmkHdA6YHhDA9UguKC8","1","25750000","25750000","25750000","25750000.000000000000","84","84","84.0000000000000000","0","0","0.00000000000000000000"
"1F8jyBqZv4d7KPoCd5XEoQ8kyuHgucWsec","3","1638","546","546","546.0000000000000000","0","0","0.00000000000000000000","1","1","1.00000000000000000000"
"1F8LWJEhwoxHdfiM53bifmQdwcVtrMRKag","1","546","546","546","546.0000000000000000","0","0","0.00000000000000000000","1","1","1.00000000000000000000"
"1F8Ly5d4iaFpXXBDaKdCMVYPhLYmWSjaj1","1","24215296","24215296","24215296","24215296.000000000000","108","108","108.0000000000000000","0","0","0.00000000000000000000"
"1F8Mh7xYoYyCV9dBDNNxWqdu7VyKsWRcgF","2","590086","424800","165286","295043.000000000000","33","5","19.0000000000000000","1","1","1.00000000000000000000"
"1F8mov6V1SHMGjuNiPzAytnm56CJxhxFMq","2","1200","600","600","600.0000000000000000","0","0","0.00000000000000000000","3","3","3.0000000000000000"
"1F8Mxxx6LFAarPu4px6QG9QnapsRH8tcww","2","43791288","42914261","877027","21895644.000000000000","100","56","78.0000000000000000","4","3","3.5000000000000000"
"1F8ndQNkcWxWvwiEgwixX666qUrHEPb8V8","6","1247880616","400000000","95617722","207980102.66666667","0","0","0.00000000000000000000","13","0","5.1666666666666667"
"1F8nemJDwKcbpgVfFn3BJSjBhZ6eEc3rw7","2","2300000","1300000","1000000","1150000.000000000000","150","134","142.0000000000000000","4","3","3.5000000000000000"
"1F8nfp34MfwM8ATQM4TQtgXhfQT2Xxz8uA","1","1079627","1079627","1079627","1079627.000000000000","77","77","77.0000000000000000","0","0","0.00000000000000000000"
"1F8NUPkJjSSGWVTChLHXF88kxyQpeY8dRx","2","201458954","100950000","100508954","100729477.000000000000","203","173","188.0000000000000000","36","32","34.0000000000000000"
"1F8PvZmZXFhY7sHSQy3ysTDw7LjJPfaaGS","1","1020917","1020917","1020917","1020917.000000000000","123","123","123.0000000000000000","1","1","1.00000000000000000000"
"1F8q1g3LiBoD9dLsE4931C4oRod1uSYzGQ","2","8414639","5383117","3031522","4207319.500000000000","129","35","82.0000000000000000","58","1","29.5000000000000000"
"1F8qiYSayCaWxoP7CAXK32NJmyTasDgfMK","2","1092","546","546","546.0000000000000000","0","0","0.00000000000000000000","0","0","0.00000000000000000000"
"1F8QjovvBT1XXX85FAX8x7NiKFinV8wGyv","1","546","546","546","546.0000000000000000","0","0","0.00000000000000000000","2","2","2.0000000000000000"
"1F8r6uJMcXPTccwkb8i53TyeLpJncciwNd","1","1066461","1066461","1066461","1066461.000000000000","10","10","10.0000000000000000","3","3","3.0000000000000000"
"1F8rN1t4CNDmScrWcQbQpVUW7LDHKwT8Kx","5","5675440","2902600","204362","1135088.000000000000","5","1","2.4000000000000000","6","0","2.4000000000000000"
"1F8sct8FUqe3S5yW7adq7kdn3tNuE9x8jv","1","950000","950000","950000","950000.000000000000","24","24","24.0000000000000000","23","23","23.0000000000000000"
"1F8SfwHpPNFX1mhm3hr5sqVmnJUm6gwVqi","1","5060000","5060000","5060000","5060000.000000000000","54","54","54.0000000000000000","0","0","0.00000000000000000000"
"1F8sQQQwCqkHL9LnmQTJLDr87T5RLawRQU","4","700001092","500000000","546","175000273.00000000","146","0","37.0000000000000000","3","0","1.5000000000000000"
"1F8svjFquXCiwGJrz2J8s9vDehRmk2M1bM","9","4914","546","546","546.0000000000000000","0","0","0.00000000000000000000","2","1","1.5555555555555556"
"1F8sXgZdb57Z2XHJDJg4hZ3jNjMYcP3o22","13","14969628","1330058","1005418","1151509.846153846154","236","3","131.4615384615384615","158","48","111.5384615384615385"
"1F8t1FGFzXjviBoLzFw334mkbMN29AtEQ5","1","150917","150917","150917","150917.000000000000","249","249","249.0000000000000000","0","0","0.00000000000000000000"
"1F8thyfmqAcZJy7wtj63RzSfAUkniaWvsj","1","348851","348851","348851","348851.000000000000","0","0","0.00000000000000000000","18","18","18.0000000000000000"
"1F8tJStThWaW9YXYwCP47JdDCA1kBXf14j","1","546","546","546","546.0000000000000000","0","0","0.00000000000000000000","1","1","1.00000000000000000000"
"1F8tw1eEwUpW3VoMkWhdJedmr3gJ7acjSP","2","1092","546","546","546.0000000000000000","0","0","0.00000000000000000000","1","1","1.00000000000000000000"
"1F8Tx969FbXk4eTMHpboYrbaRbAXnDzRiT","4","2184","546","546","546.0000000000000000","0","0","0.00000000000000000000","3","1","2.0000000000000000"
"1F8tYiGNEU4QneG7b9kTySPp1zrTdSPKZQ","2","167600","115600","52000","83800.000000000000","72","54","63.0000000000000000","35","27","31.0000000000000000"
"1F8U3GecpiRuJgADmUxE7J93bD2kAy1Gy3","2","1092","546","546","546.0000000000000000","0","0","0.00000000000000000000","2","1","1.5000000000000000"
"1F8UHi6YPLhHvVHkuc11tXcU8evQTSzwwQ","1","118276769","118276769","118276769","118276769.000000000000","63","63","63.0000000000000000","0","0","0.00000000000000000000"
